Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-28 17:12:29,2018-09-28 17:12:48,18.941s,PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.100,,2018-09-28 17:12:29,2018-09-28 17:12:40,10.483s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 17:12:30,2018-09-28 17:12:40,10.230s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 69.0.3497.100,,2018-09-28 17:12:40,2018-09-28 17:12:48,7.845s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 17:12:40,2018-09-28 17:12:46,5.758s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 17:12:46,2018-09-28 17:12:46,0.141s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:12:46,2018-09-28 17:12:46,0.513s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 17:12:46,2018-09-28 17:12:47,0.178s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:12:47,2018-09-28 17:12:47,0.142s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 17:12:47,2018-09-28 17:12:47,0.506s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:12:47,2018-09-28 17:12:47,0.106s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 17:12:47,2018-09-28 17:12:47,0.154s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:12:47,2018-09-28 17:12:48,0.183s,PASSED
